sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
sen nihyaku kyuujuu san, ni sen sanbyaku kyuujuu
roppyaku sanjuu, ni sen sanbyaku kyuujuu kyuu
ni sen yonhyaku shichijuu hitotsu, sen gojuu hachi
sanzen gohyaku juukyuu, ni sen kyuuhyaku hachi
yonsen nihyaku juuni, yonsen shichijuu hitotsu
sen roppyaku sanjuu ni, sanzen hyaku yon
yonhyaku shichijuu roku, sen kyuuhyaku juuhachi
sanzen happyaku gojuu san, sanzen happyaku hatachi yon
sanzen yonhyaku gojuu roku, nanahyaku gojuu kyuu
kyuuhyaku kyuu, sanzen hitotsu
yonsen happyaku juuni, ni sen hyaku gojuu ni
sen happyaku kyuujuu san, yonsen happyaku sanjuu san
yonsen sanbyaku sanjuu go, sanzen roppyaku rokujuu yon
sen juusan, sen gohyaku hitotsu
sen nanahyaku juuni, yonsen gohyaku sanjuu yon
sen happyaku yonjuu kyuu, yonsen nihyaku hatachi shichi
gohyaku juukyuu, gohyaku sanjuu hachi
sanzen yonhyaku hachijuu kyuu, gohyaku juuhachi
sanzen nihyaku juu, ni sen shichijuu hachi
sen kyuuhyaku juushi, ni sen happyaku kyuujuu hachi
gohyaku yonjuu ni, ni sen yonhyaku juushi
sen nihyaku yonjuu roku, sanzen gohyaku go
sen roppyaku rokujuu go, ni sen hyaku kyuujuu go
ni sen gohyaku hachijuu kyuu, yonsen gohyaku gojuu roku
sanzen sanbyaku yonjuu san, yonsen yonhyaku yon
yonsen nanahyaku shichijuu yon, ni sen happyaku rokujuu kyuu
yonsen gohyaku sanjuu yon, yonsen nihyaku sanjuu san
gojuu yon, sen roppyaku juuhachi
ni sen hyaku shichijuu ni, sanzen nanahyaku juushichi
sanbyaku sanjuu go, sen happyaku hachijuu kyuu
sanbyaku hatachi go, sanzen kyuuhyaku hatachi kyuu
sen hyaku shichijuu, ni sen happyaku go
gohyaku juushichi, yonsen nihyaku rokujuu shichi
sanzen nanahyaku juushi, sen hyaku rokujuu
sen yonhyaku shichijuu ni, happyaku hachijuu kyuu
roppyaku rokujuu san, happyaku gojuu
ni sen gohyaku kyuujuu roku, sanzen hyakuhachi
sanzen kyuuhyaku rokujuu, sanzen hatachi
yonsen hyaku kyuujuu yon, sanzen gojuu hitotsu
yonsen nihyaku shichijuu kyuu, nihyaku juusan
sanzen happyaku hachijuu hachi, yonhyaku hitotsu
sen kyuuhyaku shichijuu hitotsu, yonsen nihyaku hatachi
ni sen yonhyaku gojuu yon, yonhyaku sanjuu
sanbyaku juugo, sanzen sanbyaku rokujuu
roppyaku gojuu san, yonsen nihyaku rokujuu kyuu
sen gohyaku sanjuu go, sanzen hyaku shichijuu yon
ni sen nihyaku juusan, yonsen roppyaku hachijuu
gohyaku kyuujuu san, nihyaku kyuu
sen roppyaku kyuujuu yon, sanzen nanahyaku gojuu hachi
ni sen gohyaku hachijuu, roppyaku gojuu roku
yonsen hyaku sanjuu roku, ni sen happyaku juukyuu
sanzen nihyaku kyuujuu go, roppyaku kyuujuu san
ni sen hyaku hatachi kyuu, roppyaku hatachi ni
ni sen sanbyaku shichijuu, yonsen hyaku shichijuu shichi
sanzen nanahyaku hachijuu, sanzen yonhyaku rokujuu roku
sen nanahyaku shichijuu roku, yonsen nanahyaku juuhachi
ni sen nihyaku san, sanzen hyaku sanjuu hitotsu
yonsen hyaku juuroku, sanzen yonjuu roku
sanzen nanahyaku shichijuu go, sanzen hyakuhachi juu
sanzen kyuuhyaku kyuujuu shichi, sanzen gojuu ni
yonsen roppyaku yonjuu shichi, sen gohyaku kyuujuu kyuu
ni sen roppyaku hachijuu san, yonsen hitotsu
yonsen nanahyaku shichijuu shichi, gohyaku sanjuu go
sanzen nanahyaku yonjuu roku, ni sen happyaku hachijuu
ni sen nihyaku san, sen yonhyaku hachijuu shichi
yonsen gohyaku sanjuu san, ni sen gohyaku hachijuu roku
sen nihyaku shichijuu go, roppyaku hachijuu san
nanahyaku yonjuu, ni sen yonhyaku gojuu go
yonsen nanahyaku sanjuu go, ni sen hyaku kyuujuu yon
ni sen happyaku kyuujuu go, sanzen happyaku kyuujuu ni
ni sen hyaku hatachi san, happyaku hatachi kyuu
nanahyaku sanjuu roku, nihyaku juukyuu
ni sen roppyaku juu, sanzen yonhyaku yonjuu san
ni sen nanahyaku hatachi yon, yonsen gohyaku juusan
sen sanbyaku juuichi, yonsen roppyaku kyuujuu kyuu
yonsen sanbyaku san, sen nihyaku yonjuu
roppyaku sanjuu san, sen nihyaku
sanzen kyuuhyaku sanjuu ni, sanbyaku sanjuu go
ni sen sanbyaku juuhachi, ni sen nanahyaku gojuu yon
ni sen yonhyaku hatachi san, sen hyakuhachi juu
happyaku kyuujuu hitotsu, ni sen happyaku yonjuu roku
sanbyaku juushichi, yonsen sanbyaku hachi
ni sen sanbyaku yonjuu kyuu, sen kyuuhyaku gojuu
sanzen roppyaku hachijuu san, sanzen gohyaku shichijuu ni
sanzen gohyaku sanjuu, sanzen kyuuhyaku juushi
yonsen hyaku hatachi, sen gohyaku hatachi kyuu
sanzen kyuuhyaku rokujuu go, roppyaku rokujuu go
happyaku hachijuu kyuu, happyaku gojuu go
gohyaku kyuujuu yon, sanzen sanbyaku sanjuu roku
sanzen roppyaku yon, yonsen gojuu kyuu
ni sen roppyaku rokujuu san, nanahyaku hachijuu yon
yonsen hyaku yon, sen yonhyaku rokujuu kyuu
ni sen happyaku sanjuu go, sanzen juusan
kyuuhyaku gojuu, sanzen sanbyaku shichijuu hitotsu
sen roppyaku sanjuu hachi, sen happyaku shichijuu kyuu
yonsen sanbyaku juuichi, hatachi roku
sanzen happyaku kyuujuu kyuu, sanzen hyakuhachi juuhachi
sanzen sanbyaku kyuujuu roku, sen nihyaku kyuujuu
yonsen shichijuu hitotsu, sanzen nanahyaku hachi
yonsen happyaku rokujuu roku, yonsen kyuuhyaku rokujuu kyuu
ni sen nanahyaku sanjuu kyuu, sanzen sanbyaku hachijuu ni
yonsen nihyaku go, sanzen sanbyaku yonjuu yon
sanzen sanbyaku gojuu san, happyaku hatachi kyuu
sen nanahyaku hachijuu ni, yonsen happyaku hatachi shichi
gohyaku hatachi yon, sanbyaku kyuujuu san
sanzen sanbyaku yonjuu hitotsu, ni sen yonhyaku sanjuu shichi
sanzen hyaku rokujuu hachi, hyaku kyuujuu hitotsu
ni sen nanahyaku hatachi yon, ni sen yonhyaku hachijuu ni
nanahyaku shichijuu kyuu, nihyaku gojuu kyuu
yonsen happyaku yonjuu kyuu, yonsen nanahyaku juuroku
sanzen hyaku kyuujuu roku, yonsen hachijuu hachi
sanzen hyakuhachi juukyuu, ni sen roppyaku yonjuu kyuu
sen nanahyaku yonjuu roku, hyaku rokujuu hitotsu
ni sen happyaku kyuujuu kyuu, sanzen sanbyaku yonjuu kyuu
hyaku hatachi roku, ni sen happyaku rokujuu go
yonsen yonhyaku shichijuu ni, sanzen hyaku ni
yonsen roppyaku sanjuu shichi, hyaku shichi
sanzen roppyaku kyuujuu shichi, nanahyaku hachijuu kyuu
kyuujuu, sen sanbyaku kyuujuu shichi
yonsen gojuu yon, sen gohyaku shichijuu kyuu
ni sen sanbyaku juuhachi, sen gojuu kyuu
sanzen hyaku gojuu shichi, ni sen yonhyaku hatachi kyuu
ni sen hyaku yonjuu hitotsu, kyuuhyaku roku
shichijuu san, sanzen sanbyaku hachijuu san
ni sen gohyaku kyuujuu san, happyaku hatachi ni
sen happyaku rokujuu roku, sanbyaku gojuu san
kyuuhyaku hatachi roku, ni sen yonhyaku rokujuu go
yonsen happyaku kyuujuu hachi, sen kyuuhyaku kyuujuu san
ni sen happyaku, sanzen hyaku juuhachi
ni sen kyuuhyaku gojuu hachi, sen yonhyaku kyuujuu shichi
roppyaku sanjuu roku, ni sen roppyaku rokujuu yon
yonsen shichijuu, ni sen rokujuu kyuu
sanzen nanahyaku go, sen hyaku sanjuu hachi
sanzen sanbyaku gojuu hitotsu, sen hatachi hitotsu
kyuujuu roku, sanzen gohyaku shichijuu hitotsu
sen roppyaku yonjuu roku, roppyaku hatachi
sen happyaku kyuujuu san, sanzen sanbyaku hachijuu hachi
yonsen hyaku sanjuu go, ni sen hyakuhachi juushi
sen nanahyaku shichijuu roku, yonsen roppyaku sanjuu yon
nihyaku rokujuu roku, sen hachijuu kyuu
sen gohyaku shichijuu go, sanzen nanahyaku kyuujuu yon
sanzen roppyaku hatachi hitotsu, sanzen yonhyaku shichijuu ni
ni sen kyuuhyaku rokujuu shichi, sen nanahyaku hachijuu shichi
sanzen roppyaku kyuujuu shichi, sanzen nanahyaku sanjuu hachi
sanbyaku juugo, sanzen happyaku yonjuu shichi
yonsen kyuuhyaku kyuujuu yon, ni sen nanahyaku juu
sanbyaku yonjuu san, happyaku rokujuu hitotsu
ni sen nihyaku shichijuu hachi, yonsen nanahyaku hachijuu shichi
ni sen hyaku gojuu yon, shichijuu hitotsu
yonsen nihyaku rokujuu hitotsu, sanzen sanbyaku sanjuu shichi
nihyaku juuroku, yonsen sanbyaku kyuujuu roku
sen hyaku sanjuu hitotsu, gohyaku gojuu ni
sen nihyaku rokujuu san, nihyaku juuhachi
yonsen sanbyaku yonjuu roku, yonsen yonhyaku sanjuu kyuu
sen roppyaku rokujuu roku, nanahyaku hachijuu kyuu
yonjuu shichi, sen rokujuu ni
hyaku rokujuu hitotsu, sanzen nihyaku kyuujuu
yonsen roppyaku hachijuu roku, yonsen happyaku kyuujuu hitotsu
sen nihyaku kyuujuu kyuu, yonsen roppyaku hachijuu roku
sanzen yonhyaku hachijuu kyuu, yonsen happyaku hatachi roku
sanzen nihyaku hachijuu, sen sanbyaku hatachi kyuu
nihyaku hatachi ni, ni sen happyaku kyuujuu kyuu
sen hyakuhachi juuhachi, sanzen gohyaku hatachi
ni sen happyaku shichijuu hachi, sanzen hyaku juushi
ni sen nanahyaku rokujuu san, ni sen kyuuhyaku rokujuu san
yonsen hyaku ni, ni sen happyaku rokujuu go
kyuuhyaku gojuu hachi, sen hyakuhachi juuhachi
happyaku hatachi san, yonsen roppyaku yonjuu
sanzen kyuuhyaku rokujuu, happyaku hatachi roku
sen gohyaku sanjuu san, yonsen gohyaku hachi
sanzen hyakuhachi juuhachi, sen roppyaku kyuujuu go
yonsen nihyaku juugo, ni sen kyuuhyaku hachijuu san
roppyaku roku, ni sen shichijuu ni
ni sen sanbyaku hatachi yon, sen yonhyaku kyuujuu hachi
sanzen sanbyaku gojuu go, ni sen kyuuhyaku juu
nanahyaku gojuu hitotsu, sanzen happyaku sanjuu hitotsu
yonsen sanbyaku ni, shichijuu kyuu
ni sen gohyaku roku, sen hyaku juugo
sen nanahyaku yonjuu shichi, sanzen roppyaku juuhachi
yonsen gohyaku hatachi ni, sen nihyaku juusan
roppyaku rokujuu san, sen nanahyaku kyuujuu hachi
sen shichijuu shichi, yonsen juugo
happyaku juushichi, rokujuu roku
sanzen roppyaku go, ni sen roppyaku san
sanzen gohyaku sanjuu ni, yonsen nanahyaku go
sanzen gojuu, yonsen yonhyaku kyuujuu ni
sen roppyaku hatachi shichi, yonhyaku hachijuu roku
yonsen sanbyaku ni, yonsen kyuuhyaku rokujuu go
sanzen gohyaku yonjuu yon, sanzen sanbyaku hatachi roku
sanzen sanbyaku yonjuu shichi, yonsen gohyaku hachijuu yon
yonsen nanahyaku ni, yonsen nihyaku kyuujuu kyuu
yonsen nihyaku shichijuu hitotsu, kyuuhyaku sanjuu san
sen hyaku juugo, sen hyaku yonjuu hitotsu
ni sen shichijuu yon, kyuuhyaku rokujuu
ni sen yonhyaku hachijuu hitotsu, sen hyaku rokujuu yon
gohyaku shichijuu go, yonsen nihyaku gojuu san
ni sen roppyaku juukyuu, yonsen nanahyaku sanjuu shichi
nanahyaku shichi, yonsen yonhyaku gojuu hitotsu
yonsen yonhyaku juuhachi, yonsen gohyaku hatachi ni
sanzen roppyaku shichijuu yon, sen gohyaku rokujuu kyuu
yonsen kyuuhyaku gojuu go, yonsen nanahyaku juuhachi
sanzen gohyaku juugo, sanbyaku hatachi yon
sen happyaku yonjuu ni, sen nanahyaku juushi
kyuuhyaku rokujuu, yonsen roppyaku kyuujuu yon
sen yonhyaku shichijuu san, ni sen hyaku hatachi roku
ni sen yonhyaku sanjuu roku, sen sanbyaku yonjuu shichi
ni sen yonhyaku rokujuu san, yonsen nihyaku sanjuu yon
ni sen gohyaku yonjuu, sanzen yonhyaku hachijuu hachi
sanzen nihyaku shichijuu roku, yonsen nihyaku kyuujuu ni
sen kyuuhyaku kyuujuu san, ni sen nihyaku shichi
sen happyaku kyuujuu, nanahyaku hachijuu shichi
nanahyaku kyuujuu go, sanzen kyuuhyaku kyuujuu
sen yonhyaku shichijuu roku, ni sen roppyaku juuhachi
sanzen hyaku gojuu kyuu, happyaku shichijuu san
yonsen hyaku rokujuu hitotsu, sanzen nanahyaku hachijuu go
ni sen hyaku hatachi, yonsen hyaku juu
sen gohyaku gojuu shichi, sanbyaku rokujuu hachi
yonsen hyaku juuhachi, kyuuhyaku rokujuu roku
yonsen yonhyaku juugo, yonsen yonhyaku sanjuu
sen nanahyaku roku, sen nanahyaku yonjuu ni
sen nihyaku hatachi hitotsu, happyaku hatachi ni
ni sen happyaku juugo, sen kyuuhyaku sanjuu shichi
roppyaku sanjuu hachi, ni sen roppyaku shichijuu yon
sen happyaku sanjuu hitotsu, ni sen yonhyaku yonjuu hitotsu
sen sanbyaku hatachi shichi, ni sen gohyaku shichijuu roku
sen gohyaku kyuujuu roku, kyuuhyaku shichijuu ni
happyaku shichijuu shichi, ni sen kyuuhyaku sanjuu san
sen sanbyaku sanjuu roku, gohyaku gojuu hachi
yonsen sanjuu kyuu, ni sen hyaku rokujuu hachi
sen happyaku hachijuu go, gohyaku yon
ni sen kyuuhyaku yonjuu san, nanahyaku gojuu shichi
sanzen happyaku kyuujuu san, sen kyuuhyaku rokujuu go
sen yonhyaku kyuujuu ni, yonsen nanahyaku shichijuu hitotsu
sen happyaku hatachi hachi, ni sen hyaku kyuujuu roku
sanzen hyaku juuni, yonsen kyuuhyaku yonjuu hachi
ni sen sanbyaku kyuujuu ni, ni sen kyuuhyaku hachijuu san
yonsen hyaku juugo, sanzen kyuuhyaku hitotsu
sanzen gohyaku juu, sen nanahyaku shichijuu ni
sanbyaku juuni, sen nanahyaku sanjuu
ni sen happyaku juusan, sanzen gohyaku hachijuu ni
yonsen nihyaku sanjuu hachi, sen nanahyaku sanjuu ni
roppyaku hachi, ni sen yonhyaku yonjuu hachi
yonsen roppyaku shichijuu shichi, yonsen sanbyaku hachijuu
ni sen kyuuhyaku sanjuu, yonhyaku kyuujuu kyuu
sanzen nihyaku hatachi kyuu, sanzen kyuuhyaku gojuu san
yonsen gojuu hachi, yonsen nanahyaku kyuujuu go
sanzen yonhyaku roku, sanzen shichijuu ni
sanzen hyaku rokujuu yon, sanzen hachijuu hachi
yonsen sanjuu yon, sanzen yonhyaku hatachi san
gohyaku juukyuu, happyaku hachijuu go
ni sen sanbyaku go, sanzen hyaku kyuujuu roku
yonsen hyaku juu, sen hyakuhachi juushichi
sanzen roppyaku gojuu, sanzen rokujuu san
sanzen sanbyaku yonjuu, sen hachijuu kyuu
hyaku shichijuu ni, ni sen nihyaku juushi
sanzen gohyaku kyuujuu san, sen roppyaku gojuu hitotsu
yonsen roppyaku sanjuu san, sanbyaku sanjuu shichi
ni sen kyuujuu shichi, yonsen happyaku go
sanzen nihyaku shichijuu hachi, gohyaku sanjuu
yonsen roppyaku san, hyaku shichijuu yon
yonsen nihyaku sanjuu roku, nihyaku rokujuu go
sen juuroku, sanzen kyuuhyaku hatachi yon
yonsen roppyaku hatachi kyuu, sen sanbyaku hatachi hitotsu
yonhyaku hitotsu, sen kyuuhyaku hachijuu hitotsu
yonhyaku shichijuu hitotsu, ni sen gohyaku juugo
yonsen hyakuhachi juuroku, ni sen nihyaku hatachi ni
sen happyaku gojuu go, nihyaku hatachi
sen kyuuhyaku shichijuu go, sen roppyaku yonjuu kyuu
nihyaku juu, ni sen yonhyaku san
sanzen nihyaku sanjuu kyuu, sen gohyaku hatachi go
sanzen yonhyaku juushichi, sen sanjuu hachi
yonsen gohyaku hachijuu ni, sen yonhyaku juu
sen kyuuhyaku hachijuu, ni sen yonhyaku hachijuu hachi
yonsen kyuujuu san, happyaku rokujuu hachi
sen kyuuhyaku rokujuu yon, ni sen nanahyaku juukyuu
ni sen kyuuhyaku, sen nanahyaku hachijuu shichi
hyaku kyuujuu shichi, sen sanbyaku hatachi kyuu
sanzen rokujuu kyuu, roppyaku yonjuu hachi
sen roppyaku juuni, ni sen yonjuu ni
ni sen nanahyaku juuhachi, sen roppyaku sanjuu hitotsu
sen nanahyaku juuni, ni sen kyuuhyaku gojuu san
sanzen happyaku kyuujuu san, hyaku shichijuu go
yonsen yonhyaku gojuu hachi, yonsen nanahyaku yonjuu shichi
sanbyaku rokujuu go, sen gojuu hitotsu
sanbyaku juusan, nihyaku hatachi yon
sanzen roppyaku rokujuu kyuu, yonjuu san
ni sen kyuuhyaku rokujuu, ni sen nihyaku sanjuu san
ni sen hyaku shichijuu go, sanzen kyuuhyaku hachijuu yon
ni sen roppyaku kyuujuu yon, roppyaku hachijuu
sen happyaku kyuujuu san, sanzen gohyaku yonjuu hitotsu
sanzen kyuuhyaku shichijuu hitotsu, sanzen kyuuhyaku sanjuu
sanzen juu, sen sanbyaku juushichi
sanzen roppyaku hatachi go, ni sen yonhyaku shichijuu hachi
ni sen roppyaku yonjuu yon, sen sanbyaku yon
roppyaku shichijuu san, ni sen hyaku juugo
yonsen yonhyaku juuni, sanzen hyaku shichijuu go
sen roppyaku kyuujuu shichi, ni sen roppyaku hachijuu roku
sen nihyaku juukyuu, ni sen sanbyaku yonjuu ni
sanzen kyuuhyaku sanjuu shichi, yonsen shichijuu san
roppyaku juushi, sanzen kyuuhyaku juuichi
sanjuu go, sen gojuu yon
ni sen hyakuhachi juugo, ni sen happyaku sanjuu go
ni sen nanahyaku rokujuu roku, sanzen kyuuhyaku yonjuu ni
gohyaku shichijuu ni, sen yonhyaku yonjuu hitotsu
sen nihyaku gojuu, sen nanahyaku hatachi go
ni sen yonhyaku juukyuu, yonsen sanbyaku shichijuu go
ni sen rokujuu go, ni sen gohyaku kyuujuu hitotsu
sanzen shichijuu roku, sanzen happyaku gojuu ni
ni sen happyaku hitotsu, yonsen gohyaku sanjuu hachi
ni sen nanahyaku hachijuu go, yonsen nanahyaku gojuu hachi
sanzen kyuuhyaku rokujuu, yonsen nihyaku kyuujuu roku
sanzen nihyaku shichijuu ni, yonsen sanbyaku kyuujuu roku
sen roppyaku hitotsu, happyaku rokujuu shichi
ni sen nanahyaku san, sanzen yonhyaku shichijuu hitotsu
sanzen sanbyaku hatachi go, sanbyaku kyuujuu roku
sen hyaku rokujuu roku, yonsen kyuuhyaku hachijuu hachi
sen yonhyaku shichijuu kyuu, yonsen nihyaku hitotsu
yonsen nihyaku kyuujuu kyuu, sanzen gohyaku shichijuu hitotsu
roppyaku hatachi kyuu, sanzen hyaku
yonsen roppyaku juuhachi, ni sen gohyaku hatachi san
ni sen hyaku yonjuu roku, ni sen kyuuhyaku yon
sanbyaku shichijuu san, hyaku gojuu shichi
gohyaku shichijuu go, sanzen happyaku hatachi hachi
ni sen juu, sen roppyaku sanjuu san
sen yonjuu hachi, yonsen nihyaku gojuu ni
ni sen happyaku kyuujuu yon, sen nanahyaku gojuu go
yonsen nihyaku kyuu, happyaku juukyuu
sen roppyaku rokujuu, ni sen nanahyaku gojuu shichi
sanzen yonhyaku hatachi roku, ni sen roppyaku yonjuu ni
sanzen kyuuhyaku juukyuu, ni sen nihyaku gojuu hachi
ni sen kyuujuu shichi, sanzen gohyaku sanjuu roku
yonsen happyaku shichijuu go, ni sen nanahyaku hatachi san
ni sen rokujuu san, roppyaku sanjuu yon
yonsen kyuuhyaku juuhachi, yonsen nihyaku yonjuu yon
ni sen gohyaku yonjuu yon, ni sen nanahyaku hatachi hachi
yonsen roppyaku hatachi san, yonsen kyuuhyaku hatachi hachi
sanzen gohyaku kyuu, yonsen yonhyaku juusan
ni sen kyuuhyaku shichijuu kyuu, sanzen kyuuhyaku shichijuu kyuu
sanbyaku sanjuu ni, kyuuhyaku kyuujuu san
sen nanahyaku hachijuu hachi, sanzen yonhyaku sanjuu kyuu
sen sanbyaku hatachi roku, yonsen gohyaku shichijuu hachi
yonsen gohyaku kyuujuu ni, roppyaku yonjuu ni
ni sen sanbyaku hachijuu hachi, sanzen gohyaku rokujuu go
ni sen yonhyaku yonjuu yon, roppyaku yonjuu ni
yonsen nanahyaku rokujuu roku, sanzen kyuuhyaku hatachi go
sanzen yonhyaku sanjuu ni, yonsen happyaku hachijuu hitotsu
sen nihyaku roku, ni sen shichijuu hitotsu
ni sen roppyaku shichijuu hachi, sanzen sanbyaku hachijuu shichi
nihyaku yonjuu san, nihyaku rokujuu yon
ni sen sanbyaku yonjuu yon, nihyaku juusan
sanzen nihyaku juukyuu, sanzen yonhyaku kyuujuu ni
ni sen hyaku hatachi yon, yonsen nihyaku hachijuu ni
sen gohyaku gojuu kyuu, sen kyuuhyaku hatachi ni
hyaku kyuujuu ni, kyuujuu go
yonhyaku juushi, yonsen kyuuhyaku shichijuu kyuu
ni sen gohyaku hachijuu hachi, sanzen nanahyaku hatachi roku
sanzen sanbyaku hatachi hachi, yonsen kyuuhyaku kyuujuu go
ni sen roppyaku hachi, sen gohyaku shichijuu ni
sen yonhyaku hatachi yon, sanzen hyaku yonjuu shichi
ni sen roppyaku juusan, ni sen happyaku hachi
yonsen nihyaku hachijuu kyuu, ni sen juuroku
sanzen happyaku rokujuu go, ni sen sanbyaku gojuu hitotsu
sanzen gojuu, yonsen sanbyaku sanjuu shichi
yonsen happyaku, ni sen sanbyaku sanjuu ni
sanzen sanbyaku shichijuu shichi, sanzen juuichi
sen nanahyaku gojuu shichi, yonsen roppyaku shichijuu san
sanzen yonhyaku gojuu ni, ni sen happyaku hachijuu
yonsen gohyaku yonjuu go, ni sen sanbyaku rokujuu yon
yonsen sanbyaku sanjuu yon, hyaku shichijuu roku
ni sen yonhyaku hachijuu kyuu, yonsen kyuuhyaku juushi
sen kyuuhyaku hachijuu roku, sen kyuuhyaku shichijuu go
yonsen sanbyaku hatachi, ni sen sanbyaku gojuu roku
yonsen roppyaku gojuu san, sen gohyaku kyuujuu yon
roppyaku juukyuu, sen kyuuhyaku
ni sen nihyaku gojuu kyuu, sanbyaku gojuu shichi
yonsen happyaku shichijuu ni, yonsen ni
sen happyaku juugo, yonsen hyaku juu
sen roppyaku yonjuu, sen kyuuhyaku sanjuu shichi
ni sen gohyaku hatachi hachi, ni sen yonhyaku gojuu ni
sanzen sanbyaku hachijuu go, gohyaku kyuujuu ni
sanzen kyuuhyaku juushi, sanzen sanbyaku rokujuu roku
sanbyaku shichijuu yon, ni sen kyuuhyaku yonjuu san
gohyaku sanjuu kyuu, roppyaku kyuujuu ni
nihyaku shichi, sen sanbyaku yonjuu roku
sanzen sanbyaku hachijuu hitotsu, sanzen yonhyaku hatachi hitotsu
ni sen hyaku go, sen sanbyaku hitotsu
yonsen nanahyaku gojuu yon, sen sanbyaku sanjuu san
ni sen yonhyaku kyuujuu shichi, sen happyaku rokujuu shichi
ni sen happyaku hatachi san, sen nanahyaku juugo
yonsen kyuuhyaku yonjuu hitotsu, sen roppyaku yonjuu go
sanzen sanjuu hitotsu, ni sen yonhyaku yonjuu yon
hyaku juu, kyuujuu shichi
yonsen happyaku juuichi, sen roppyaku juuichi
sanzen sanbyaku hatachi shichi, yonsen yonhyaku san
happyaku shichijuu roku, sanzen nanahyaku yonjuu go
sen yonhyaku kyuujuu hitotsu, ni sen shichijuu san
sanbyaku kyuujuu yon, ni sen gohyaku rokujuu hitotsu
ni sen yonhyaku rokujuu, sen happyaku hachi
yonsen shichijuu yon, yonsen gohyaku juukyuu
ni sen yonhyaku roku, sen kyuuhyaku hachijuu yon
yonsen nanahyaku sanjuu san, sen happyaku yonjuu ni
happyaku sanjuu san, ni sen hitotsu
yonsen nihyaku rokujuu hachi, yonsen kyuuhyaku
sen kyuujuu roku, sanzen kyuuhyaku rokujuu san
roppyaku san, ni sen kyuuhyaku hachijuu san
sen happyaku gojuu hitotsu, happyaku rokujuu shichi
sanzen hyaku kyuujuu hitotsu, sen nanahyaku kyuujuu
sen hyaku juuroku, ni sen roppyaku juugo
sen kyuuhyaku shichijuu roku, sanzen gohyaku sanjuu san
ni sen happyaku juuni, sen yonhyaku sanjuu
sanzen hyaku hatachi, yonsen nihyaku sanjuu kyuu
happyaku shichijuu yon, sanzen sanbyaku hachijuu
ni sen sanbyaku shichijuu san, sen nanahyaku yon
happyaku hatachi hitotsu, sanzen nihyaku shichijuu ni
kyuuhyaku kyuujuu hachi, sanbyaku rokujuu roku
nihyaku hachijuu san, ni sen sanbyaku juukyuu
sanzen nihyaku shichijuu san, sanzen kyuuhyaku sanjuu hachi
sen hyaku gojuu go, ni sen roppyaku shichijuu hachi
sen sanbyaku ni, sen sanbyaku hachijuu kyuu
sanzen nanahyaku kyuujuu ni, hitotsu
ni sen yonhyaku gojuu go, go
yonsen happyaku kyuujuu kyuu, roppyaku shichijuu shichi
rokujuu kyuu, yonsen gohyaku hachijuu go
gohyaku san, yonsen hachijuu hitotsu
gohyaku sanjuu ni, ni sen yonhyaku juuhachi
yonsen gojuu shichi, sen nanahyaku rokujuu san
ni sen gohyaku kyuujuu kyuu, sanbyaku hatachi hachi
hyaku yonjuu yon, ni sen hyaku ni
sanbyaku gojuu hachi, sanzen happyaku hatachi hachi
ni sen juushichi, yonsen happyaku hatachi go
sen kyuuhyaku rokujuu hitotsu, sen yonhyaku sanjuu yon
yonsen sanbyaku gojuu hitotsu, ni sen hyaku gojuu kyuu
ni sen kyuuhyaku kyuujuu yon, nihyaku sanjuu yon
happyaku hachijuu ni, ni sen gohyaku gojuu ni
sen roppyaku rokujuu roku, yonsen hyaku gojuu san
sen gohyaku hatachi go, ni sen happyaku hachi
yonhyaku rokujuu, sanzen shichijuu yon
sanzen gohyaku gojuu go, sen kyuuhyaku gojuu roku
hyaku shichijuu shichi, happyaku juuroku
sanzen gohyaku sanjuu hitotsu, yonsen gojuu san
sen kyuuhyaku sanjuu kyuu, gohyaku hachijuu hitotsu
yonsen hyaku rokujuu go, ni sen roppyaku gojuu
sen nanahyaku yon, yonsen sanjuu shichi
hyaku yonjuu yon, gohyaku yonjuu go
sanzen gohyaku kyuujuu hitotsu, kyuuhyaku ni
ni sen yonhyaku shichijuu hitotsu, hyaku sanjuu ni
sanzen yonhyaku san, yonsen nihyaku juuroku
kyuuhyaku shichijuu roku, yonsen nanahyaku shichijuu
sanzen roppyaku rokujuu hachi, gohyaku hachi
yonsen happyaku hachijuu, sanzen hyaku shichijuu
ni sen roppyaku rokujuu go, yonhyaku sanjuu yon
yonsen hyaku rokujuu roku, ni sen yonhyaku sanjuu ni
sen kyuuhyaku roku, sen hyakuhachi juushi
sen nanahyaku juukyuu, gohyaku roku
sanzen roppyaku hachijuu kyuu, ni sen rokujuu shichi
ni sen kyuujuu shichi, sen hyaku hatachi kyuu
sanbyaku, happyaku kyuujuu
sanzen hyaku gojuu roku, sen sanbyaku hatachi kyuu
sen roppyaku roku, ni sen roppyaku rokujuu kyuu
sanzen yonhyaku juuichi, yonsen sanbyaku hatachi san
sen happyaku yonjuu kyuu, sen kyuuhyaku juushichi
sen yonhyaku juugo, sen nihyaku yonjuu kyuu
sen nanahyaku hatachi, ni sen gohyaku shichijuu yon
sanzen happyaku rokujuu yon, kyuuhyaku sanjuu
sanzen hyakuhachi juu, sanzen gohyaku hachijuu san
ni sen gohyaku hachi, sen kyuuhyaku gojuu ni
